ticker,title,link,pubDate,sentiment,p_negative,p_neutral,p_positive
AAPL,Trump Fires Another Shot at the Fed. The Economy Could Be Collateral Damage.(Barrons.com),https://www.barrons.com/articles/trump-fed-lisa-cook-things-to-know-today-2fee34e4?mod=bar_FV,Today 06:30AM,neutral,0.02522166259586811,0.516765296459198,0.45801305770874023
AAPL,"Apple Watch not a 'CO2-neutral product', German court finds(Reuters)",https://finance.yahoo.com/news/apple-watch-not-co2-neutral-095849936.html,05:58AM,positive,0.05901474878191948,0.09058912843465805,0.8503960967063904
AAPL,Elon Musks xAI files lawsuit against Apple and OpenAI(Verdict),https://finance.yahoo.com/m/ce4844f5-3ea6-3424-8746-96148353a888/elon-musk%E2%80%99s-xai-files-lawsuit.html,05:06AM,positive,0.03411541506648064,0.31653162837028503,0.6493529677391052
AAPL,"Elon Musk Sues Apple, OpenAI Over iPhone AI 'Monopoly'(decrypt)",https://finance.yahoo.com/m/1da7410a-9b8e-3edf-b222-edd85b2b9c23/elon-musk-sues-apple%2C-openai.html,05:01AM,neutral,0.019558703526854515,0.5787680745124817,0.40167322754859924
AAPL,Trump threatens tariffs on nations imposing digital taxes on US tech(Euronews),https://finance.yahoo.com/m/845ca7f9-3686-347f-926c-9812cd72bb9c/trump-threatens-tariffs-on.html,04:46AM,positive,0.03303049877285957,0.20100164413452148,0.765967845916748
AAPL,Heard on the Street Monday Recap: Trumps New Deal(The Wall Street Journal),https://finance.yahoo.com/m/412e2e94-ed25-35f2-a7d0-99d9388b2ae4/heard-on-the-street-monday.html,03:37AM,positive,0.0753132775425911,0.026580816134810448,0.8981058597564697
AAPL,"Elon Musk's xAI sues Apple, OpenAI over competition claims(Reuters Videos)",https://finance.yahoo.com/video/elon-musks-xai-sues-apple-070708112.html,03:07AM,neutral,0.026482444256544113,0.6481554508209229,0.3253621459007263
AAPL,Trump vows retaliation against countries proposing digital taxes or regulation on American tech giants(TheStreet),https://finance.yahoo.com/m/ea34f88f-2e75-3d10-b813-673f9172f0ed/trump-vows-retaliation.html,12:14AM,neutral,0.031056886538863182,0.6485078930854797,0.32043519616127014
AAPL,The $5.5bn cup of coffee(Financial Times),https://finance.yahoo.com/news/5-5bn-cup-coffee-040026549.html,12:00AM,positive,0.04014194384217262,0.03237831965088844,0.9274797439575195
AAPL,Apple supplier Goertek pivots for AI+AR era with strategic optics push(DigiTimes),https://www.digitimes.com/news/a20250826VL204/goertek-apple-supplier-optics-ar.html,Aug-25-25 10:44PM,negative,0.8377362489700317,0.00711912801489234,0.1551445871591568
